West Gulf of Mexico;None
East Gulf of Mexico;None
Coast of Cuba;None
South Atlantic Coast;None
Coast of Puerto Rico;None
Coast of Bermuda;None
North Atlantic Coast;None
Coast of New Brunswick;None
Sea9;None
Sea10;None
Sea11;None
Sea12;None
Sea13;None
Sea14;None
Sea15;None
Sea16;None
Sea17;None
Coast of Quebec;None
Coast of Nova Scotia;None
Sea20;None
Sea21;None
Sea22;None
Sea23;None
Sea24;None
Sea25;None
Sea26;None
Sea27;None
Sea28;None
Sea29;None
Sea30;None
Sea31;None
Sea32;None
Sea33;None
Sea34;None
Sea35;None
Sea36;None
Sea37;None
Sea38;None
Sea39;None
Sea40;None
Sea41;None
Sea42;None
Sea43;None
Sea44;None
Sea45;None
Sea46;None
Sea47;None
Sea48;None
Sea49;None
Sea50;None
Sea51;None
Sea52;None
Sea53;None
Sea54;None
Sea55;None
Sea56;None
Sea57;None
Sea58;None
Sea59;None
Sea60;None
Sea61;None
Sea62;None
Sea63;None
Sea64;None
Sea65;None
Sea66;None
Sea67;None
Sea68;None
Sea69;None
Sea70;None
Sea71;None
Sea72;None
Sea73;None
Sea74;None
Sea75;None
Sea76;None
Sea77;None
Sea78;None
Sea79;None
Sea80;None
Sea81;None
Sea82;None
Sea83;None
Sea84;None
Sea85;None
Sea86;None
Sea87;None
Sea88;None
Sea89;None
Sea90;None
Sea91;None
Sea92;None
Sea93;None
Sea94;None
Sea95;None
Coast of Hawaii;None
Sea97;None
Sea98;None
Sea99;None
Sea100;None
Sea101;None
Sea102;None
Sea103;None
Sea104;None
Sea105;None
Sea106;None
Sea107;None
Sea108;None
Sea109;None
Sea110;None
Sea111;None
Quabbin Reservoir;None
Lake Lanier;None
Lake Superior;None
Lake Michigan;None
Lake Huron;None
Lake St Clair;None
Lake Erie;None
Lake Ontario;None
Lake Nipissing;None
Lake Champlain;None
Lake Simcoe;None
Gouin Reservoir;None
Lake Saint-Jean;None
Lake Mistassini;None
Lake Manicouagan;None
Smallwood Reservoir;None
Lake Melville;None
North Quebec Lakes;None
Lake Nipigon;None
Lake Winnipeg;None
Lake of the Woods;None
Red Lakes;None
Mille Lacs Lake;None
Lake Winnebago;None
North Manitoba Lakes;None
Reindeer Lake;None
North Saskatchewan Lakes;None
Nunavut Lakes;None
Lake Athabasca;None
Great Slave Lake;None
Great Bear Lake;None
Iliamna Lake;None
Becharof Lake;None
Great Salt Lake;None
Pyramid Lake;None
Tahoe Lake;None
Salton Sea;None
Sam Rayburn Reservoir;None
Toledo Bend Reservoir;None
Lake Pontchartrain;None
Lake Okeechobee;None
Leech Lakes;None
Finger Lakes;None
Waste1;None
Waste2;None
Waste3;None
Waste4;None
Waste5;None
Waste6;None
Waste7;None
Waste8;None
Waste9;None
Waste10;None
Waste11;None
Waste12;None
Waste13;None
Waste14;None
Waste15;None
Waste16;None
Waste17;None
Waste18;None
Waste19;None
Waste20;None
Waste21;None
Waste22;None
Waste23;None
Waste24;None
Waste25;None
Waste26;None
Waste27;None
Waste28;None
Waste29;None
Waste30;None
Waste31;None
Waste32;None
Waste33;None
Waste34;None
Waste35;None
Waste36;None
Waste37;None
Waste38;None
Waste39;None
Waste40;None
Waste41;None
Waste42;None
Waste43;None
Waste44;None
Waste45;None
Waste46;None
Waste47;None
Waste48;None
Waste49;None
Waste50;None
Waste51;None
Waste52;None
Waste53;None
Waste54;None
Waste55;None
Waste56;None
Waste57;None
DE_New Castle;Philadelphian
DE_Sussex;East Chesapeake
DE_Kent;East Chesapeake
PA_Erie;Erie
PA_Crawford;Erie
PA_Mercer;Erie
PA_Lawrence;Erie
PA_Beaver;Pittsburgher
PA_Washington;Pittsburgher
PA_Greene;Central West Virginian
PA_Venango;Erie
PA_Butler;Pittsburgher
PA_Allegheny;Pittsburgher
PA_Warren;Erie
PA_Forest;Erie
PA_Clarion;Erie
PA_Armstrong;Pittsburgher
PA_Westmoreland;Pittsburgher
PA_Fayette;Pittsburgher
PA_Jefferson;Wild Pennsylvanian
PA_Indiana;Pittsburgher
PA_McKean;Wild Pennsylvanian
PA_Elk;Wild Pennsylvanian
PA_Clearfield;Wild Pennsylvanian
PA_Cambria;Penn-Appalachian
PA_Somerset;Penn-Appalachian
PA_Bedford;Penn-Appalachian
PA_Blair;Penn-Appalachian
PA_Centre;Wild Pennsylvanian
PA_Clinton;Wild Pennsylvanian
PA_Cameron;Wild Pennsylvanian
PA_Potter;Wild Pennsylvanian
PA_Tioga;Wild Pennsylvanian
PA_Lycoming;Wild Pennsylvanian
PA_Union;Wild Pennsylvanian
PA_Mifflin;Penn-Appalachian
PA_Huntington;Penn-Appalachian
PA_Fulton;Penn-Appalachian
PA_Franklin;Penn Dutch
PA_Adams;Penn Dutch
PA_Cumberland;Penn Dutch
PA_Perry;Penn Dutch
PA_Juniata;Penn-Appalachian
PA_Snyder;Penn-Appalachian
PA_Northumberland;Coal Pennsylvanian
PA_Montour;Coal Pennsylvanian
PA_Susquehanna;Coal Pennsylvanian
PA_Columbia;Coal Pennsylvanian
PA_Sullivan;Coal Pennsylvanian
PA_Bradford;Coal Pennsylvanian
PA_Wyoming;Coal Pennsylvanian
PA_Luzerne;Coal Pennsylvanian
PA_Schuylkill;Coal Pennsylvanian
